tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt1361264,tvEpisode,Momi no ki no shita de,Momi no ki no shita de,0,2009,\N,30,Animation
tt1361264,tvEpisode,Momi no ki no shita de,Momi no ki no shita de,0,2009,\N,30,Comedy
tt1361264,tvEpisode,Momi no ki no shita de,Momi no ki no shita de,0,2009,\N,30,Drama
tt1369400,tvEpisode,Seiyasai,Seiyasai,0,2009,\N,30,Animation
tt1369400,tvEpisode,Seiyasai,Seiyasai,0,2009,\N,30,Comedy
tt1369400,tvEpisode,Seiyasai,Seiyasai,0,2009,\N,30,Drama
tt1369401,tvEpisode,"Zutto, konomama","Zutto, konomama",0,2009,\N,30,Animation
tt1369401,tvEpisode,"Zutto, konomama","Zutto, konomama",0,2009,\N,30,Comedy
tt1369401,tvEpisode,"Zutto, konomama","Zutto, konomama",0,2009,\N,30,Drama
tt1381490,tvEpisode,Dôshitatte,Dôshitatte,0,2009,\N,30,Animation
tt1381490,tvEpisode,Dôshitatte,Dôshitatte,0,2009,\N,30,Comedy
tt1381490,tvEpisode,Dôshitatte,Dôshitatte,0,2009,\N,30,Drama
tt1390351,tvEpisode,Kimi no iru keshiki,Kimi no iru keshiki,0,2009,\N,30,Animation
tt1390351,tvEpisode,Kimi no iru keshiki,Kimi no iru keshiki,0,2009,\N,30,Comedy
tt1390351,tvEpisode,Kimi no iru keshiki,Kimi no iru keshiki,0,2009,\N,30,Drama
tt1390352,tvEpisode,Kokuhaku,Kokuhaku,0,2009,\N,30,Animation
tt1390352,tvEpisode,Kokuhaku,Kokuhaku,0,2009,\N,30,Comedy
tt1390352,tvEpisode,Kokuhaku,Kokuhaku,0,2009,\N,30,Drama
tt1390353,tvEpisode,Susumubeki michi,Susumubeki michi,0,2009,\N,30,Animation
tt1390353,tvEpisode,Susumubeki michi,Susumubeki michi,0,2009,\N,30,Comedy
tt1390353,tvEpisode,Susumubeki michi,Susumubeki michi,0,2009,\N,30,Drama
tt1390354,tvEpisode,Toradora!,Toradora!,0,2009,\N,30,Animation
tt1390354,tvEpisode,Toradora!,Toradora!,0,2009,\N,30,Comedy
tt1390354,tvEpisode,Toradora!,Toradora!,0,2009,\N,30,Drama
tt1589921,tvEpisode,Days Gone Bye,Days Gone Bye,0,2010,\N,67,Drama
tt1589921,tvEpisode,Days Gone Bye,Days Gone Bye,0,2010,\N,67,Horror
tt1589921,tvEpisode,Days Gone Bye,Days Gone Bye,0,2010,\N,67,Thriller
tt1623288,movie,ParaNorman,ParaNorman,0,2012,\N,92,Adventure
tt1623288,movie,ParaNorman,ParaNorman,0,2012,\N,92,Animation
tt1623288,movie,ParaNorman,ParaNorman,0,2012,\N,92,Comedy
tt16542412,tvEpisode,Dunkirk,Dunkirk,0,2021,\N,\N,Documentary
tt16542412,tvEpisode,Dunkirk,Dunkirk,0,2021,\N,\N,History
tt16542412,tvEpisode,Dunkirk,Dunkirk,0,2021,\N,\N,War
tt16542414,tvEpisode,The Battle of the Atlantic,The Battle of the Atlantic,0,2021,\N,\N,Documentary
tt16542414,tvEpisode,The Battle of the Atlantic,The Battle of the Atlantic,0,2021,\N,\N,History
tt16542414,tvEpisode,The Battle of the Atlantic,The Battle of the Atlantic,0,2021,\N,\N,War
tt16542592,tvEpisode,The Invasion of North Africa,The Invasion of North Africa,0,2021,\N,\N,Documentary
tt16542592,tvEpisode,The Invasion of North Africa,The Invasion of North Africa,0,2021,\N,\N,History
